"Rank","Artist Name","Country","Genre","Label","Viberate Rank","Spotify Rank","Spotify Followers 1w","Spotify Followers Total","Spotify Streams 1w","Spotify Streams Total","Spotify Monthly Listeners 1w","Spotify Monthly Listeners Total","Spotify Playlist Reach Total","YouTube Rank","YouTube Subscribers 1w","YouTube Subscribers Total","YouTube Views 1w","YouTube Views Total","YouTube Likes 1w","YouTube Likes Total","Social Rank","TikTok Followers 1w","TikTok Followers Total","TikTok Likes 1w","TikTok Views 1w","Instagram Followers 1w","Instagram Followers Total","Instagram Likes 1w","Facebook Followers 1w","Facebook Followers Total","Deezer Fans 1w","Deezer Fans Total","SoundCloud Followers 1w","SoundCloud Followers Total","SoundCloud Plays 1w","Shazam Shazams 1w","Radio Airplay Rank","Radio Airplay Spins 1w","Radio Airplay Countries with Spins 1w","Radio Airplay Stations with Spins 1w","Beatport Rank","Beatport Tracks Total","Beatport Tracks in Top 100 Total","Beatport Days in Top 100 Total","Beatport Track Performance Points 1w","Beatport Track Performance Points Total"
"398","Superheaven","United States","Rock","Sony Music Entertainment, Universal Music Group","7853","4873","3389","533242","3937255","517358347","82624","3661357","6399537","19516","0","101000","388723","40214289","3929","641945","62151","N/A","N/A","N/A","N/A","846","105225","12851","-12","44279","92","10463","82","17027","73562","0","41743","67","13","26","N/A","N/A","N/A","N/A","N/A","N/A"
"399","Mona Gonzales","Philippines","Pop","Sony Music Entertainment","7868","173182","167","10608","10193","2680537","860","15056","220771","391904","0","384000","8404","19939973","254","763682","869","-643","18962403","324918","0","1903","1217702","432","55098","3359881","1","57","0","898","29","0","139779","10","2","2","N/A","N/A","N/A","N/A","N/A","N/A"
"400","Peter Schilling","Germany","Pop","Warner Music Group, Big Indie Labels","7883","5713","582","181729","1378081","344626338","-24290","3205920","14496657","9433","0","251000","19048","209016247","164","1913613","73384","25","67415","403","0","11","25530","44","0","25635","40","17242","N/A","N/A","N/A","3","1257","5227","64","1574","68371","10","1","16","1.8154417166076737","66.62121689924193"
"401","GLAY","Japan","Rock","Other Indie / Unsigned","7885","13120","1549","727880","1399705","266754392","-6159","826944","1989418","6363","0","554000","375022","614091391","726","3633577","12433","-58","173035","1839","0","1220","201801","7881","-37","147779","3","1590","N/A","N/A","N/A","18","63615","17","8","9","N/A","N/A","N/A","N/A","N/A","N/A"
"402","Beth Roars","United Kingdom","Pop","Other Indie / Unsigned","8008","259869","32","5177","1342","213691","42","1688","253254","1887","10000","1260000","4786297","458939215","79973","10948882","20098","8474","50199","377507","0","1356","103113","33997","203","32146","2","506","0","11","2","0","411211","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"403","Los Amigos Invisibles","Venezuela","Rock","Big Indie Labels","8027","5898","590","496551","1727047","874792044","-31492","2462474","8178652","13660","1000","302000","713229","343529611","1853","1840133","14538","0","539","0","0","4322","286860","40050","163","864814","30","105080","0","1527","111","5","5219","1188","30","216","98922","75","1","4","1.4514557735118567","42.39587789621009"
"404","STELLA LEFTY","United States","Rock","Other Indie / Unsigned","8105","11276","5353","52554","7096431","39387474","770297","3153626","18740021","N/A","N/A","N/A","N/A","N/A","N/A","N/A","2390","23456","299300","549938","0","6049","96149","9393","N/A","N/A","21","289","N/A","N/A","N/A","0","102066","93","16","25","N/A","N/A","N/A","N/A","N/A","N/A"
"405","DOPE LEMON","Australia","Rock","BMG, Universal Music Group","8109","4551","1140","613277","3694194","945420673","42719","3127822","10572329","12355","1000","339000","322304","143948614","1970","1771053","51198","18","34015","278","0","N/A","111618","N/A","0","79963","91","26486","23","11534","7575","70","12211","292","26","85","126106","3","0","0","0.4209316197519821","8.41863239503964"
"406","Grupo Grace","Dominican Republic","Religious","Sony Music Entertainment, Big Indie Labels","8151","27315","1813","273490","640088","104653781","7371","431628","1192931","6946","3000","797000","1813285","273192631","19365","2541185","12702","16226","169664","79899","0","4294","531187","27520","20127","258574","29","7162","N/A","N/A","N/A","6","4104","1430","21","97","N/A","N/A","N/A","N/A","N/A","N/A"
"407","Silverstein","Canada","Rock","Big Indie Labels, Warner Music Group, Universal Music Group","8159","7518","2452","868156","2161943","847177605","-23838","1603294","11861577","14736","1000","195000","224207","135406095","1997","1080076","12156","966","68148","7222","0","670","271007","2405","0","945864","91","117123","34","10211","12433","0","13941","298","17","50","N/A","N/A","N/A","N/A","N/A","N/A"
"408","Shironamhin","Bangladesh","Rock","Big Indie Labels","8261","28671","1555","575967","206828","31117743","7639","217380","102136","5922","0","1110000","709713","211385236","5587","2349199","7766","-10","28998","15474","0","9","57651","2228","2697","1675461","4","11745","2","6007","286","2","48489","67","3","6","N/A","N/A","N/A","N/A","N/A","N/A"
"409","Fuel","United States","Rock","N/A","8277","4461","2159","986439","2758277","609675439","-58150","3326168","20805348","19288","N/A","N/A","N/A","N/A","N/A","N/A","58397","N/A","N/A","N/A","N/A","0","2782","0","-141","232256","56","26482","N/A","N/A","N/A","0","3872","1670","40","431","N/A","N/A","N/A","N/A","N/A","N/A"
"410","Barenaked Ladies","Canada","Rock","Warner Music Group","8295","4791","1115","869458","2052493","973750421","39404","2773378","15111289","19200","0","143000","244233","208457253","1573","1429791","19956","100","176542","1674","0","N/A","N/A","N/A","0","491257","48","27949","10","4984","6346","6","1268","4100","63","976","N/A","N/A","N/A","N/A","N/A","N/A"
"411","Gin Blossoms","United States","Rock","Big Indie Labels, BMG","8296","6130","1157","776024","1611229","509620204","-3875","2148190","12435342","12449","0","127000","360768","156814735","1550","720416","46568","9","1991","4","0","197","61253","608","0","256973","34","20882","N/A","N/A","N/A","2","1816","3473","68","955","N/A","N/A","N/A","N/A","N/A","N/A"
"412","James","United Kingdom","Rock","Universal Music Group, Big Indie Labels","8336","5410","1028","648051","2261994","823850833","12894","2272119","14473219","15151","1000","170000","284195","130016533","1463","709206","23388","N/A","N/A","N/A","N/A","667","84295","1300","751","351838","106","81344","9","2913","3937","1364","1919","3432","69","1068","N/A","N/A","N/A","N/A","N/A","N/A"
"413","El Plan De La Mariposa","Argentina","Rock","Sony Music Entertainment, Universal Music Group","8345","11888","1215","215991","2944195","335482187","7854","1304118","2069559","10914","1000","133000","1803978","105154569","3003","550195","22365","433","53772","7085","0","1134","357445","12333","350","86492","8","2659","1","357","74","5","26798","255","4","32","N/A","N/A","N/A","N/A","N/A","N/A"
"414","Mayday Parade","United States","Punk","BMG, Big Indie Labels","8377","5344","1046","1410152","1845566","1344071056","-25687","1735917","14702583","17637","0","325000","132503","229409135","712","1857151","10873","92","114634","983","0","72","366425","1703","-743","1604889","56","113689","12","29325","6272","65","16336","222","17","52","N/A","N/A","N/A","N/A","N/A","N/A"
"415","Citizen Soldier","United States","Rock","Sony Music Entertainment, Big Indie Labels","8388","12206","882","587182","1884734","607960379","-13150","958414","1197312","8354","0","742000","24424","327762135","144","6208965","12618","-87","1022080","5027","0","-90","285066","2914","209","653273","79","24512","27","12908","18872","19","26832","107","13","35","N/A","N/A","N/A","N/A","N/A","N/A"
"416","Shaun Ryder","United Kingdom","Rock","Big Indie Labels, BMG","8413","2821","338","25475","3690566","753609481","-105135","7514305","16864974","9811","0","404","733994","377178550","3904","2675034","35830","N/A","N/A","N/A","N/A","188","153166","867","49","197503","2","6644","N/A","N/A","N/A","0","104781","5","3","4","N/A","N/A","N/A","N/A","N/A","N/A"
"417","Silly Fools","Thailand","Rock","Other Indie / Unsigned","8426","4539","9216","4457588","4167939","633242005","-10737","1613688","1105795","N/A","N/A","N/A","N/A","N/A","N/A","N/A","41578","N/A","N/A","N/A","N/A","350","61234","3315","0","279101","3","23242","0","454","8","54","176560","4","1","2","N/A","N/A","N/A","N/A","N/A","N/A"
"418","Przemek.pro","Poland","Rock","N/A","8459","34421","-134","207362","376528","126252871","-8560","218693","116330","10889","0","672000","4980","129969557","4","5196807","5820","224","1105871","103576","0","179","937260","22767","N/A","N/A","0","192","N/A","N/A","N/A","0","198465","0","0","0","N/A","N/A","N/A","N/A","N/A","N/A"
"419","The Struts","United Kingdom","Rock","Universal Music Group","8465","5418","759","457108","2016447","698006817","-32860","3119213","14969544","14599","0","270000","176445","139473021","1756","1769131","24813","0","249556","1349","0","-154","208316","268","-19","154920","46","25245","1","5765","4654","4","5500","950","41","269","166087","1","0","0","0.013201023080275476","0.2640204616055095"
"420","Paulo Ricardo","Brazil","Rock","Universal Music Group, Big Indie Labels","8474","15541","1273","570918","628934","141605699","-6593","796046","3252232","12406","0","407000","460417","165703466","3117","1480792","8213","699","101350","5449","0","916","1068621","5400","928","1599907","30","82359","N/A","N/A","N/A","2","4987","1302","22","331","N/A","N/A","N/A","N/A","N/A","N/A"
"421","Ram Jam","United States","Blues","Other Indie / Unsigned","8479","4182","1463","274347","1474916","602093453","-11713","3804318","34395176","8466","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","52","21497","N/A","N/A","N/A","5","2195","2824","61","1045","85938","5","0","0","2.502398490808856","3.407108911659546"
