rank,subgenre,parent_genre,points_million
1,Latin Pop,Pop,11.7
2,Regional Mexican Music,Latin,8.3
3,Mainstream Pop,Pop,3.5
4,Pop Rock,Rock,3.4
5,Indie Pop,Pop,3.3
6,Alternative Rock,Rock,3.0
7,Other Latin Music,Latin,3.0
8,Reggaeton,Latin,2.2
9,Indie Rock,Rock,1.8
10,Contemporary Hip Hop,Hip Hop,1.2
