platform,genre,share_percent
Overall,Latin,56
Overall,Pop,29
Overall,Rock,9
Overall,Other,6
YouTube,Latin,56
YouTube,Pop,31
YouTube,Hip Hop,6
YouTube,Other,7
Deezer,Latin,45
Deezer,Rock,34
Deezer,Pop,23
Deezer,Other,-2
