rank,city,venues,festivals,events
1,Mexico City,337,0,2579
2,Monterrey,137,9,607
3,Guadalajara,148,1,706
4,Zapopan,58,3,339
5,Puebla,113,2,289
6,Santiago de Querétaro,83,0,254
7,Tijuana,108,2,220
8,Merida,71,0,155
9,Benito Juárez,6,0,140
10,Iztapalapa,3,0,108
