Festival,Festival_Month,Festival_Month_Num,Rank,Country,Alltime_Audience_M
Osheaga,August,8,1,USA,820.0
Osheaga,August,8,2,CAN,195.0
Osheaga,August,8,3,GBR,102.5
Osheaga,August,8,4,BRA,85.3
Osheaga,August,8,5,MEX,72.1
Osheaga,August,8,6,IND,61.4
Osheaga,August,8,7,AUS,48.2
Osheaga,August,8,8,FRA,44.7
Osheaga,August,8,9,NGA,38.6
Osheaga,August,8,10,DEU,32.1
