Festival,Festival_Month,Festival_Month_Num,Rank,Country,YouTube_Views_Monthly_B,Spotify_Listeners_Monthly_M
Osheaga,August,8,1,USA,1.2,245.3
Osheaga,August,8,2,CAN,0.2103,48.7
Osheaga,August,8,3,GBR,0.1821,62.1
Osheaga,August,8,4,BRA,0.1543,28.4
Osheaga,August,8,5,MEX,0.1287,32.6
Osheaga,August,8,6,IND,0.1124,12.3
Osheaga,August,8,7,AUS,0.0987,31.5
Osheaga,August,8,8,FRA,0.0843,18.9
Osheaga,August,8,9,ARG,0.0721,14.2
Osheaga,August,8,10,NGA,0.0654,9.8
