Festival,Festival_Month,Festival_Month_Num,Category,Segment,Value_Absolute_B,Value_Percent
Tecate Pa'l Norte,March,3,Gender,Female,1.5,54.9
Tecate Pa'l Norte,March,3,Gender,Male,1.3,45.1
