section,metric,value,notes
South Africa Overview,Radio Stations,470,Overall
South Africa Overview,Artists,11600,Overall
South Africa Overview,Venues,952,Overall
South Africa Overview,Festivals,44,Overall
South Africa Overview,Events,257,2 years
