platform,genre,share_percent
Overall,Pop,32
Overall,Rock,21
Overall,Electronic,13
Overall,Other,34
YouTube,Hip Hop,27
YouTube,Electronic,25
YouTube,R&B,18
YouTube,Other,30
Deezer,Pop,44
Deezer,Rock,34
Deezer,Electronic,5
Deezer,Other,17
