rank,city,venues,festivals,events,top_genre_1,top_genre_2,top_genre_3
1,Reebok,39,0,117,Electronic,Pop,Country
2,Cape Town,163,6,121,,,
3,Pretoria,74,0,108,,,
4,Nasrec,3,0,6,,,
5,Swellendam,1,1,2,,,
6,Johannesburg,53,6,20,,,
7,Chartwell,1,0,2,,,
8,Makana,2,1,0,,,
9,Sandton,32,1,13,,,
10,Durban,49,0,16,,,
