rank,subgenre,parent_genre,points
1,Mainstream Pop,Pop,440400
2,Other African Music,African,313200
3,Contemporary Country,Country,294100
4,Indie Pop,Pop,239700
5,Contemporary R&B,R&B,225500
6,House,Electronic,222800
7,Christian Music,Religious,166800
8,Alternative Rock,Rock,140000
9,Pop Rock,Rock,125300
10,Folk Rock,Rock,124000
