platform,genre,share_percent
Overall,Pop,52
Overall,Rock,19
Overall,Hip Hop,9
Overall,Other,20
YouTube,Pop,74
YouTube,Rock,19
YouTube,Hip Hop,4
YouTube,Other,3
Deezer,Pop,43
Deezer,Rock,20
Deezer,Hip Hop,10
Deezer,Other,27
