rank,subgenre,parent_genre,points_million
1,j-pop,Pop,2.2
2,Pop Rock,Rock,1.5
3,Alternative Rock,Rock,1.3
4,Mainstream Pop,Pop,0.8046
5,k-pop,Pop,0.619
6,Indie Pop,Pop,0.5395
7,Anime,Asian,0.4293
8,Contemporary R&B,R&B,0.3273
9,Indie Rock,Rock,0.3115
10,Punk Rock,Punk,0.242
