rank,city,venues,festivals,events
1,Paris,1097,26,16684
2,Pantin,77,0,1013
3,Toulouse,266,5,1049
4,Floirac,5,0,171
5,Lyon,206,5,1466
6,Décines-Charpieu,8,1,170
7,Bordeaux,193,7,795
8,Marseille,293,13,1395
9,Lille,179,3,1329
10,Nanterre,13,0,77
