rank,subgenre,parent_genre,points_million
1,Mainstream Pop,Pop,33.3
2,Indie Pop,Pop,8.2
3,Pop Rock,Rock,7.8
4,French Folk,European,7.0
5,Alternative Hip Hop,Hip Hop,6.7
6,Contemporary Hip Hop,Hip Hop,5.7
7,Alternative Rock,Rock,4.6
8,Orchestral,Classical,4.2
9,Chamber Music,Classical,3.8
10,Opera,Classical,3.8
