rank,city,venues,festivals,events,top_genre_1,top_genre_2,top_genre_3
1,Istanbul,282,3,2525,Pop,Rock,Electronic
2,Şişli,11,1,248,,,
3,Seyhan,20,0,71,,,
4,Fatih,27,0,138,,,
5,Izmir,79,0,470,,,
6,Kayseri,11,0,61,,,
7,Ankara,111,1,850,,,
8,Bornova,10,0,59,,,
9,Ayvalık,7,0,29,,,
10,Bursa,40,0,438,,,
