section,metric,value,notes
Turkey Overview,Radio Stations,760,Overall
Turkey Overview,Artists,12300,Overall
Turkey Overview,Venues,1600,Overall
Turkey Overview,Festivals,20,Overall
Turkey Overview,Events,4000,2 years
