Festival,Festival_Month,Festival_Month_Num,Rank,Country,Alltime_Audience_M
Roskilde Festival,June,6,1,USA,714.7
Roskilde Festival,June,6,2,BRA,152.4
Roskilde Festival,June,6,3,GBR,101.5
Roskilde Festival,June,6,4,MEX,72.2
Roskilde Festival,June,6,5,NGA,61.1
Roskilde Festival,June,6,6,IND,44.2
Roskilde Festival,June,6,7,CAN,43.7
Roskilde Festival,June,6,8,FRA,42.2
Roskilde Festival,June,6,9,ZAF,38.0
Roskilde Festival,June,6,10,ARG,37.2
