rank,subgenre,parent_genre,points_million
1,Mainstream Pop,Pop,17.1
2,Pop Rock,Rock,5.7
3,Trap,Hip Hop,4.5
4,Indie Pop,Pop,3.1
5,Contemporary Hip Hop,Hip Hop,2.9
6,Dance,Electronic,2.7
7,Alternative Rock,Rock,2.3
8,Italian Folk,European,2.0
9,Alternative Hip Hop,Hip Hop,1.9
10,Opera,Classical,1.1
