platform,genre,share_percent
Overall,Pop,48
Overall,Hip Hop,25
Overall,Rock,10
Overall,Other,17
YouTube,Pop,47
YouTube,Hip Hop,27
YouTube,Rock,11
YouTube,Other,15
Deezer,Pop,60
Deezer,R&B,14
Deezer,Hip Hop,14
Deezer,Other,12
