rank,city,venues,festivals,events,top_genre_1,top_genre_2,top_genre_3
1,Rome,377,4,1735,Pop,Rock,Classical
2,Assago,7,1,245,,,
3,Milan,398,9,2208,,,
4,Turin,176,4,638,,,
5,Casalecchio di Reno,4,0,93,,,
6,Naples,114,1,679,,,
7,Padua,58,0,275,,,
8,Ciampino,9,0,97,,,
9,Bari,62,0,184,,,
10,Florence,154,4,369,,,
