section,metric,value,notes
Italy Overview,Radio Stations,1500,Overall
Italy Overview,Artists,27300,Overall
Italy Overview,Venues,6500,Overall
Italy Overview,Festivals,154,Overall
Italy Overview,Events,7300,2 years
