rank,subgenre,parent_genre,points_thousand
1,Latin Pop,Pop,1400.0
2,Mainstream Pop,Pop,628.5
3,Alternative Rock,Rock,628.0
4,Pop Rock,Rock,548.7
5,Reggaeton,Latin,523.9
6,Heavy Metal,Metal,399.0
7,Cumbia,Latin,252.9
8,Indie Pop,Pop,244.9
9,Other Latin Music,Latin,233.2
10,Trap,Hip Hop,219.9
