platform,genre,share_percent
Overall,Latin,31
Overall,Pop,30
Overall,Rock,21
Overall,Other,18
YouTube,Latin,51
YouTube,Pop,23
YouTube,Hip Hop,14
YouTube,Other,12
Deezer,Pop,38
Deezer,Rock,32
Deezer,Latin,12
Deezer,Other,18
