section,metric,value,notes
Chile Overview,Radio Stations,1200,Overall
Chile Overview,Artists,6500,Overall
Chile Overview,Venues,1800,Overall
Chile Overview,Festivals,33,Overall
Chile Overview,Events,635,2 years
