rank,city,venues,festivals,events,top_genre_1,top_genre_2,top_genre_3
1,Santiago,152,6,460,Pop,Rock,Latin
2,Ñuñoa,44,1,29,,,
3,Huechuraba,5,4,17,,,
4,Viña del Mar,54,1,26,,,
5,La Florida,15,0,9,,,
6,Cerrillos,3,2,2,,,
7,Independencia,9,8,14,,,
8,Recoleta,49,0,166,,,
9,Providencia,98,1,170,,,
10,Hualpén,8,1,21,,,
